Sl.No,State_Name,Institution_Name,Institution_Type
8619,Rajasthan,SEEDLING ACADEMY OF DESIGN TEACHNOLOGY and MGT. (Id: S-7619),Teacher Training
8620,Rajasthan,SEEDLING INSTITUTE FOR INTERGRATED LEARNING and ADVANCED STUDIES (Id: S-320),Technical/Polytechnic
8621,Rajasthan,"SETH MOTI LAL TEACHES TRAINING COLLEGE, JHUNJHUNU (Id: S-12539)",Teacher Training
8622,Rajasthan,SETH SUSHIL KUMAR BIHANI S.D. SHIKSHA MAHAVIDYALAYA SRI GANGANAGAR (Id: S-7620),Teacher Training
8623,Rajasthan,SEVA SHIKSHAK PRASHIKSHAN MAHAVIDYALAYA JAIPUR (Id: S-7621),Teacher Training
8624,Rajasthan,"S G POLYTECHNIC COLLEGE, JALORE (Id: S-2655)",Technical/Polytechnic
8625,Rajasthan,SH. AGRASEN TEACHER TEACHER TRAINING SCHOOL (Id: S-7622),Teacher Training
8626,Rajasthan,SHAHNAJ INSTITUTE OF NURSING JAIPUR (Id: S-5170),Nursing
8627,Rajasthan,SHANKARA INTERNATIONAL SCHOOL OF MANAGEMENT (Id: S-321),PGDM Institutes
8628,Rajasthan,SHANKARA TRACHER TRAINING INSTITUTE (Id: S-7624),Teacher Training
8629,Rajasthan,SHEKAWATI NURSERY TEACHER TRAINING INSTITUTE (Id: S-7625),Teacher Training
8630,Rajasthan,SHEKAWATI TEACHER TRAINING SCHOOL (Id: S-7626),Teacher Training
8631,Rajasthan,SHEKHAWATI NURSING SCHOOL JHUNJHUNU (Id: S-5171),Nursing
8632,Rajasthan,"SHEKHAWATI POLYTECHNIC COLLEGE, SIKAR (Id: S-12110)",Technical/Polytechnic
8633,Rajasthan,"SH.GOKUL BHAI BHATTGOVERNMENT POLYTECHNIC COLLEGE, SIROHI (Id: S-2661)",Technical/Polytechnic
8634,Rajasthan,SHIKSHAK PRASHIKSHAN MAHAVIDYALAYA ALWAR (Id: S-7627),Teacher Training
8635,Rajasthan,"SHIVAM POLYTECHNIC COLLEGE, JAIPUR (Id: S-2665)",Technical/Polytechnic
8636,Rajasthan,SH KARNI KRIPA NURSING SCHOOL PALI (Id: S-5169),Nursing
8637,Rajasthan,SH. MISHRI LAL DUBEY GIRLS STC SCHOOL (Id: S-7623),Teacher Training
8638,Rajasthan,SHRADHALAYA ASHRAM SAMITI (Id: S-7628),Teacher Training
8639,Rajasthan,SHREE BALAJI NURSING INSTITUTE CHURU (Id: S-5172),Nursing
8640,Rajasthan,SHREE BALAJI SCHOOL OF NURSING JODHPUR (Id: S-5173),Nursing
8641,Rajasthan,"SHREE BHAWANI SHANKER SHIKSHAK PRASHIKSHAN VIDYALAYA NARAYANPUR,ALWAR (Id: S-12862)",Teacher Training
8642,Rajasthan,SHREE DIGAMBER SCHOOL OF NURSING BHARATPUR (Id: S-5174),Nursing
8643,Rajasthan,SHREEI DARIYAV NURSING INSTITUTE NAGOR (Id: S-5177),Nursing
8644,Rajasthan,SHREEJI NURSING INSTITUTE RAJSAMAD (Id: S-5178),Nursing
