Sl.No,State_Name,Institution_Name,Institution_Type
741,Andhra Pradesh,"SRI SAI SCHOOL OF NURSING, PANDARIPURAM, PRAKASAM (Id: S-13069)",Nursing
742,Andhra Pradesh,SRI SAI SCHOOL OF NURSING PRAKASAM (Id: S-3639),Nursing
743,Andhra Pradesh,SRI SAPTHA JYOTHI SCHOOL OF NURSING ANANTAPUR (Id: S-3640),Nursing
744,Andhra Pradesh,"SRI SAPTHA JYOTHI SCHOOL OF NURSING, GUNTAKAL, ANANTHAPUR (Id: S-13091)",Nursing
745,Andhra Pradesh,SRI SATYALAKSHMI SCHOOL OF NURSING HYDERABAD (Id: S-3641),Nursing
746,Andhra Pradesh,SRI SHIRDI SAI ELEMENTARY TCHR. EDN. INST. VIZIANAGARAM (Id: S-5660),Teacher Training
747,Andhra Pradesh,SRI SRINIVASA EDUCATIONAL WELFARE SOCIETY D.NO:6-3-35B EAST GODAVARI (Id: S-5661),Teacher Training
748,Andhra Pradesh,"Sri Swamy Vivekananda College of Elementary Teacher Education, Jawahar Nagar Road, Sriharipuram, Malkapuram, Visakhapatnam District-530011 (Id: S-13332)",Teacher Training
749,Andhra Pradesh,SRI TANGTURI PRAKASHAM INST OF ADVNCD STUDY IT NELLORE (Id: S-5662),Teacher Training
750,Andhra Pradesh,SRI UMAMAHESWARA SCHOOL OF NURSING KURNOOL- (Id: S-3642),Nursing
751,Andhra Pradesh,"SRI UMAMAHESWARA SCHOOL OF NURSING, LAXMI NAGAR, KURNOOL (Id: S-13123)",Nursing
752,Andhra Pradesh,SRI VADDAMANU CHIDANANDAM MEMORIAL POLYTECHNIC (Id: S-647),Technical/Polytechnic
753,Andhra Pradesh,SRI VARALAKSHMI POLYTECHNIC MACHILIPATNAM (Id: S-648),Technical/Polytechnic
754,Andhra Pradesh,SRI VASAVI INSTITUTE OF ENGINEERING and TECHNOLOGY (Id: S-649),Technical/Polytechnic
755,Andhra Pradesh,"Sri Vasavi Raja Pratap College of Elementary Education (D.Ed.), New Town,Mahabubnagar District (Id: S-13420)",Teacher Training
756,Andhra Pradesh,SRI VENKATA PADMAVATHI SCHOOL OF NURSING CHITTOOR (Id: S-3643),Nursing
757,Andhra Pradesh,"SRI VENKATA PADMAVATHI SCHOOL OF NURSING, NEAR LEELA MAHAL CENTRE, CHITTOOR (Id: S-13156)",Nursing
758,Andhra Pradesh,SRI VENKATARAMANA SCHOOL OF NURSING PRAKASAM (Id: S-3645),Nursing
759,Andhra Pradesh,"SRI VENKATA RAMANA SCHOOL OF NURSING, RAMNAGAR, PRAKASAM (Id: S-13068)",Nursing
760,Andhra Pradesh,"SRI VENKATARAMANA SCHOOL OF NURSING, TANUKU, WEST GODAVARI (Id: S-12989)",Nursing
761,Andhra Pradesh,"SRI VENKATA SAI SCHOOL OF NURSING, YENUGONDA, MAHABOOBNAGAR (Id: S-13282)",Nursing
762,Andhra Pradesh,"Sri Venkateshwara College of Elementary Teacher Education, Payakaraopeta, Visakhapatnam. (Id: S-13330)",Teacher Training
763,Andhra Pradesh,"Sri Venkateshwara College of Elementary Teacher Education, Rayachoti Road, Chimmumiapet, Kadapa-516003 (Id: S-13388)",Teacher Training
764,Andhra Pradesh,"Sri Venkateshwara College of Teacher Training, Amrutha Educational and Rural Development Society, Near RTC Bus stand, Giddalur, Prakasam District (Id: S-13478)",Teacher Training
765,Andhra Pradesh,SRI VENKATESHWARA SCHOOL OF NURSING CHITTOOR (Id: S-3646),Nursing
766,Andhra Pradesh,"SRI VENKATESHWARA SCHOOL OF NURSING, SURYAPET, NALGONDA (Id: S-13319)",Nursing
767,Andhra Pradesh,SRI VENKATESWARA BALA KUTEER CHETANA PURI CHOWDAVARAM GUNTUR (Id: S-5664),Teacher Training
768,Andhra Pradesh,"Sri Venkateswara College of Education (D.Ed.), Addanki Road, Darsi, Prakasam-523247 (Id: S-13368)",Teacher Training
769,Andhra Pradesh,"Sri Venkateswara D.Ed. College, S.No.1008/3, Near H.No.4/139, Kammavaripalli Gramam, Rangasamudram (Vill), Porumamilla (M), Kadapa District - 516193 (Id: S-13392)",Teacher Training
770,Andhra Pradesh,SRI VENKATESWARA INSTITUTE OF ELE. TCHR. EDN. CUDDAPAH (Id: S-5665),Teacher Training
771,Andhra Pradesh,"SRI VENKATESWARA SCHOOL OF NURSING, JAGADAMBA CENTRE, VISAKHAPATNAM (Id: S-12933)",Nursing
772,Andhra Pradesh,"SRI VENKATESWARA SCHOOL OF NURSING, MALKAJIGIRI, HYDERABAD (Id: S-13250)",Nursing
773,Andhra Pradesh,"SRI VENKATESWARA SCHOOL OF NURSING, MURUKAMBATTU, CHITTOOR (Id: S-13143)",Nursing
774,Andhra Pradesh,SRI VENKATESWARA SCHOOL OF NURSING VISAKHAPATNAM (Id: S-3648),Nursing
775,Andhra Pradesh,"Sri.Vidyanikethan D.Ed College, Veldurthy, Kurnool District-518216 (Id: S-13410)",Teacher Training
776,Andhra Pradesh,"SRI VIKAS SCHOOL OF NURSING, TIRUPATHI, CHITTOOR (Id: S-13160)",Nursing
777,Andhra Pradesh,"SRI VINAYAKA SCHOOL OF NURSING, TIRUCHANUR, CHITTOOR (Id: S-13140)",Nursing
778,Andhra Pradesh,"Sri YVSBRM College of Elementary Teacher Education, Mukteshwaram, Inivalli (M) East Godavari-533211 (Id: S-13335)",Teacher Training
779,Andhra Pradesh,SRI Y V S and B R M SCHOOL OF NURSING EAST GODAVARI (Id: S-3649),Nursing
780,Andhra Pradesh,SRI YVS and SRI BRM POLYTECHNIC (Id: S-650),Technical/Polytechnic
781,Andhra Pradesh,"SRM INSTITUTE OF MEDICAL SCIENCES and TECHNOLOGY SCHOOL OF NURSING, RAMNAGAR, KARIMNAGAR (Id: S-13189)",Nursing
782,Andhra Pradesh,SRRS GOVT POLYTECHNIC SIRCILLA (Id: S-652),Technical/Polytechnic
783,Andhra Pradesh,"Sr Sai Teacher Training Institute, Sai vihar, Vontimitta (M) Kadapa (Id: S-13395)",Teacher Training
784,Andhra Pradesh,SRUJANA COLLEGE OF DIPLOMA IN ENGINEERING and TECHNOLOGY (Id: S-653),Technical/Polytechnic
785,Andhra Pradesh,"SRUTHI SCHOOL OF NURSING, CHERUKUPALLI, GUNTUR (Id: S-13053)",Nursing
786,Andhra Pradesh,SRUTHI SCHOOL OF NURSING GUNTUR (Id: S-3650),Nursing
787,Andhra Pradesh,SS GOVT. POLYTECHNIC ZAHEERABAD (Id: S-654),Technical/Polytechnic
788,Andhra Pradesh,"SSV SCHOOL OF NURSING, RAJAHMUNDARY, EAST GODAVARI (Id: S-12980)",Nursing
789,Andhra Pradesh,"ST ANNS HOSPITAL and SCHOOL OF NURSING, KAZIPET, WARANGAL (Id: S-13169)",Nursing
790,Andhra Pradesh,ST ANN'S HOSPITAL SCHOOL OF NURSING KRISHNA (Id: S-3652),Nursing
791,Andhra Pradesh,"ST ANNS HOSPITAL and SCHOOL OF NURSING, VIJAYAWADA, KRISHNA (Id: S-12995)",Nursing
792,Andhra Pradesh,"ST ANNS SCHOOL OF NURSING, MALKAPURAM, VISAKHAPATNAM (Id: S-12928)",Nursing
793,Andhra Pradesh,ST ANN'S SCHOOL OF NURSING VISAKHAPATNAM- (Id: S-3653),Nursing
794,Andhra Pradesh,"St. Joseph College of D Ed for Women, Sambasivapet, Guntur -522001 (Id: S-13476)",Teacher Training
795,Andhra Pradesh,ST. JOSEPH INSTITUTE OF ELEMENTARY TCHR. EDN. ANANTAPUR (Id: S-5666),Teacher Training
796,Andhra Pradesh,"ST JOSEPHS HOSPITAL and SCHOOL OF NURSING, GUNTUR (Id: S-13034)",Nursing
797,Andhra Pradesh,"ST JOSEPHS HOSPITAL and SCHOOL OF NURSING, MARY LAND, VISAKHAPATNAM (Id: S-12920)",Nursing
798,Andhra Pradesh,ST JOSEPH'S HOSPITAL SCHOOL OF NURSING VISAKHAPATNAM- (Id: S-3654),Nursing
799,Andhra Pradesh,"ST JOSEPHS SCHOOL OF NURSING, DUPPALAPALLI ROAD, NALGONDA (Id: S-13302)",Nursing
800,Andhra Pradesh,ST JOSEPH'S SCHOOL OF NURSING GUNTUR (Id: S-3655),Nursing
801,Andhra Pradesh,ST JOSEPH'S SCHOOL OF NURSING MAHARANIPETA VISAKHAPATNAM (Id: S-3656),Nursing
802,Andhra Pradesh,"ST JOSEPHS SCHOOL OF NURSING, MAHARANIPETA, VISAKHAPATNAM (Id: S-12921)",Nursing
803,Andhra Pradesh,"ST LUKES SCHOOL OF NURSING, MAHARANIPET, VISAKHAPATNAM (Id: S-12923)",Nursing
804,Andhra Pradesh,ST LUKE' S SCHOOL OF NURSING TRG. VISAKHAPATNAM (Id: S-3658),Nursing
805,Andhra Pradesh,"St. Mary D.Ed., Institution, Sarpavaram, Kakinada, East Godavari-533005. (Id: S-13338)",Teacher Training
806,Andhra Pradesh,"St Marys Centenary College of Elementary Teacher Education, Gnanapuram, Visakhapatnam (Id: S-13473)",Teacher Training
807,Andhra Pradesh,ST.MARYS INSTITUTE OF ELEMENTRY TEACHER EDUCATION NELLORE (Id: S-5669),Teacher Training
808,Andhra Pradesh,ST. MARY'S MANAGEMENT SCHOOL (Id: S-32),PGDM Institutes
809,Andhra Pradesh,"ST MARYS SCHOOL OF NURSING, KOVVUR, WEST GODAVARI (Id: S-12983)",Nursing
810,Andhra Pradesh,ST MARY' S SCHOOL OF NURSING WEST GODAVARI (Id: S-3659),Nursing
811,Andhra Pradesh,"St. Paul College of Elementary Teacher Education, Racharla Road, Giddalur, Prakasam-523367 (Id: S-13477)",Teacher Training
812,Andhra Pradesh,ST. PAULS TEACHER TRAINING INSTITUTION PRAKASAM (Id: S-5667),Teacher Training
813,Andhra Pradesh,ST.THERESSA INSTITUTE OF ENGINEERING and TECHNOLOGY (Id: S-655),Technical/Polytechnic
814,Andhra Pradesh,"St. Thomas College of Elementary Teacher Education, No.3-1-37, Rajaveedhi, Gadwal, Mahabubnagar-509125 (Id: S-13418)",Teacher Training
815,Andhra Pradesh,SUDHA SCHOOL OF NURSING EAST GODAVARI (Id: S-3661),Nursing
816,Andhra Pradesh,"SUDHA SCHOOL OF NURSING, RAMARAOPET, EAST GODAVARI (Id: S-12953)",Nursing
817,Andhra Pradesh,"SUJATHA SCHOOL OF NURSING, DOWALLESRAM, EAST GODAVARI (Id: S-12960)",Nursing
818,Andhra Pradesh,SUJATHA SCHOOL OF NURSING EAST GODAVARI (Id: S-3662),Nursing
819,Andhra Pradesh,"SUPRIYA SCHOOL OF NURSING, RAMARAOPET, EAST GODAVARI (Id: S-12956)",Nursing
820,Andhra Pradesh,"Surya D.Ed., College, Jagitial, Karimnagar-505327 (Id: S-13449)",Teacher Training
821,Andhra Pradesh,"SURYA SCHOOL OF NURSING, NIDADOVOLLU, WEST GODAVARI (Id: S-12993)",Nursing
822,Andhra Pradesh,"SUSEELA SCHOOL OF NURSING, BAPATLA, GUNTUR (Id: S-13043)",Nursing
823,Andhra Pradesh,"Susheela College ofEducation (D.Ed.m,) Bellary road, Rachanapalli, Anantapur District-515001 (Id: S-13404)",Teacher Training
824,Andhra Pradesh,SUVR and SR GOVERNMENT POLYTECHNIC FOR WOMEN (Id: S-656),Technical/Polytechnic
825,Andhra Pradesh,SUVR and SR GOVT POLYTECHNIC FOR WOMEN ETHAMUKKALA (Id: S-657),Technical/Polytechnic
826,Andhra Pradesh,S.V.C.M. POLYTECHNIC BADVEL (Id: S-613),Technical/Polytechnic
827,Andhra Pradesh,S.V.GOVERNMENT POLYTECHNIC (Id: S-614),Technical/Polytechnic
828,Andhra Pradesh,SV GOVT POLYTECHNIC TIRUPATI (Id: S-658),Technical/Polytechnic
829,Andhra Pradesh,SVKP POLYTECHNIC CUMBUM (Id: S-659),Technical/Polytechnic
830,Andhra Pradesh,"S V R R GOVT GENERAL HOSPITAL, TIRUPATI, CHITTOOR (Id: S-13138)",Nursing
831,Andhra Pradesh,S V R R HOSPITAL SCHOOL OF NURSING CHITTOOR (Id: S-3597),Nursing
832,Andhra Pradesh,"S V SCHOOL OF NURSING, HYDERABAD (Id: S-13242)",Nursing
833,Andhra Pradesh,SWAMY SCHOOL OF NURSING GUNTUR (Id: S-3663),Nursing
834,Andhra Pradesh,"SWAMY SCHOOL OF NURSING, MANGALDAS NAGAR, GUNTUR (Id: S-13035)",Nursing
835,Andhra Pradesh,"Swamy Vivekananda Elementary Teacher Training College, D.No.3/88, Mudigal Road, Marempally, Kalyandurg, Anantapur - 515001 (Id: S-13398)",Teacher Training
836,Andhra Pradesh,"SWAPNA SCHOOL OF NURSING, CHAITANYAPURI, HYDERABAD (Id: S-13257)",Nursing
837,Andhra Pradesh,SWATANTRA SCHOOL OF NURSING EAST GODAVARI (Id: S-3665),Nursing
838,Andhra Pradesh,"SWATANTRA SCHOOL OF NURSING, RAJAHMUNDARY, EAST GODAVARI (Id: S-12963)",Nursing
839,Andhra Pradesh,SWATHI SCHOOL OF NURSING CHITTOOR (Id: S-3666),Nursing
840,Andhra Pradesh,"SWATHI SCHOOL OF NURSING, MANGALAM, CHITTOOR (Id: S-13135)",Nursing
841,Andhra Pradesh,SYNERGY SCHOOL OF BUSINESS (Id: S-33),PGDM Institutes
842,Andhra Pradesh,SYVS and SBRM POLYTECHNIC (Id: S-660),Technical/Polytechnic
843,Andhra Pradesh,"Tagore D.Ed. College, D.No.208, Kodumur, Kurnool District (Id: S-13411)",Teacher Training
844,Andhra Pradesh,T.D.R POLYTECHNIC (Id: S-661),Technical/Polytechnic
845,Andhra Pradesh,TEACHER EDUCATION INSTITUTION(DIET) FOR GIRLS GUNTUR (Id: S-5672),Teacher Training
846,Andhra Pradesh,TECHNOLIGICAL INSTITUTE OF MANAGEMENT and ADVANCED COMPUTER EDUCATION (Id: S-34),Technical/Polytechnic
847,Andhra Pradesh,"TEJASWI SCHOOL OF NURSING, PRASANTHI NAGAR, HYDERABAD (Id: S-13259)",Nursing
848,Andhra Pradesh,T.G.L. POLYTECHNIC ADONI (Id: S-662),Technical/Polytechnic
849,Andhra Pradesh,"Thandra Paparaya College of Elementary Education, Komatipalli village, Bobbili, Vizianagaram-535558 (Id: S-13328)",Teacher Training
850,Andhra Pradesh,THANDRA PAPARAYA INSTITUTE OF SCIENCEandTECHNOLOGY (SHIFT POLYTECHNIC) (Id: S-664),Technical/Polytechnic
851,Andhra Pradesh,THANDRA PAPARAYA POLYTECHNIC BOBBILI (Id: S-665),Technical/Polytechnic
852,Andhra Pradesh,"THATHA SCHOOL OF NURSING, ANUPURAM, HYDERABAD (Id: S-13260)",Nursing
853,Andhra Pradesh,THE COLLEGE OF MEDICAL TECHNOLOGY PRAKASAM (Id: S-3669),Nursing
854,Andhra Pradesh,"THE LITTLE FLOWER SCHOOL OF NURSING, VANASTHALIPURAM, HYDERABAD (Id: S-13246)",Nursing
855,Andhra Pradesh,"The Mother Integral College of Elementary Teacher Education, Aryavatatam, Kajuluru (M), East Godavari-533468. (Id: S-13339)",Teacher Training
856,Andhra Pradesh,"THERESAS HOSPITAL and SCHOOL OF NURSING, SANATHNAGAR, HYDERABAD (Id: S-13199)",Nursing
857,Andhra Pradesh,THE VIVEKANANDA VIDYA SAMSTHA SOCIETY GUNTUR (Id: S-5673),Teacher Training
858,Andhra Pradesh,"THIRUMALA SCHOOL OF NURSING, VINAYA NAGAR, NIZAMABAD (Id: S-13299)",Nursing
859,Andhra Pradesh,"T I M S SCHOOL OF NURSING, GANNAVARAM, KRISHNA (Id: S-13007)",Nursing
860,Andhra Pradesh,"TIRUMALA SCHOOL OF NURSING, NEAR RTC COMPLEX, VIZIANAGARAM (Id: S-12945)",Nursing
861,Andhra Pradesh,TIRUMALA SCHOOL OF NURSING VIZIANAGARAM (Id: S-3673),Nursing
862,Andhra Pradesh,"TIRUPATHI SCHOOL OF NURSING, CHITTOOR (Id: S-13165)",Nursing
863,Andhra Pradesh,T.M. POLYTECHNIC CUDDAPAH (Id: S-663),Technical/Polytechnic
864,Andhra Pradesh,"Trinity College of Elementary Teacher Education, Station Road, Peddapally, Karimnagar-505172 (Id: S-13446)",Teacher Training
865,Andhra Pradesh,TRR INSTITUTE OF ENGINEERING and TECHNOLOGY MEERPET (Id: S-666),Technical/Polytechnic
866,Andhra Pradesh,TURBOMACHINERY INSTITUTEOF TECHNOLOGY and SCIENCES (Id: S-667),Technical/Polytechnic
867,Andhra Pradesh,"Universal Christian College of Ele. Edn. Indurkurpet, Nellore (Id: S-13384)",Teacher Training
868,Andhra Pradesh,USHA SCHOOL OF NURSING KRISHNA (Id: S-3674),Nursing
869,Andhra Pradesh,"USHA SCHOOL OF NURSING, KRISHNA (Id: S-12999)",Nursing
870,Andhra Pradesh,USHODAYA EDUCATIONAL and WELFARE USHODAYA TELUGU PANDIT TRAINING SOMUNAIDU VIDYA PRANGANAM (Id: S-5674),Teacher Training
871,Andhra Pradesh,"Vagdevi College of Teacher Education, HB Colony, Nagarkurnool, Mahabubnagar District (Id: S-13419)",Teacher Training
872,Andhra Pradesh,"Vailankanni Ele. Teacher Education, No.6-2-13, Shivarampally, NPA post, Rajendranagar Municipality, Rangareddy District (Id: S-13430)",Teacher Training
873,Andhra Pradesh,"VANI SCHOOL OF NURSING, CO-OPERATIVE COLONY, CUDDAPAH (Id: S-13100)",Nursing
874,Andhra Pradesh,VANI SCHOOL OF NURSING MEDAK (Id: S-3675),Nursing
875,Andhra Pradesh,"VARALAXMI SCHOOL OF NURSING, KADAPA, CUDDAPAH (Id: S-13112)",Nursing
876,Andhra Pradesh,"VARDHAN SCHOOL OF NURSING, DEVI NAGAR, KRISHNA (Id: S-13009)",Nursing
877,Andhra Pradesh,VARDHAN SCHOOL OF NURSING KRISHNA (Id: S-3676),Nursing
878,Andhra Pradesh,VASAVI POLYTECHNIC BANAGANANPALLI (Id: S-670),Technical/Polytechnic
879,Andhra Pradesh,"Vasm Reddy College of D.Ed., D.No.4-120, Elitipadu, Iragavaram(M), West Godavari (Id: S-13350)",Teacher Training
880,Andhra Pradesh,V.C.R. INSTITUTE OF TEACHER TRAINING CHITTOOR (Id: S-5677),Teacher Training
881,Andhra Pradesh,"VEDHA SCHOOL OF NURSING, L.S. NAGAR, CHITTOOR (Id: S-13155)",Nursing
882,Andhra Pradesh,"VENKATA PADMA SCHOOL OF NURSING, CHODIMALLA VARI STREET, VIZIANAGARAM (Id: S-12943)",Nursing
883,Andhra Pradesh,VENKATA PADMA SCHOOL OF NURSING VIZIANAGARAM (Id: S-3677),Nursing
884,Andhra Pradesh,"VENKATA SAI SCHOOL OF NURSING, SIDDIPET, MEDAK (Id: S-13288)",Nursing
885,Andhra Pradesh,"VENKATESHWARA SCHOOL OF NURSING, KARIMNAGAR (Id: S-13193)",Nursing
886,Andhra Pradesh,VENKATESWARA ELEMENTARY TEACHER TRAINING INSTITUTE BALAJI EDUCATIONAL SOCIETY ANANTAPUR (Id: S-5678),Teacher Training
887,Andhra Pradesh,VICTORIA MEMORIAL HOSPITAL WARANGAL (Id: S-3679),Nursing
888,Andhra Pradesh,"Vidayala institute of Elementary Teacher Training Education, 4/32, SBI Colony,Akkarampally post, Tirupathi,North Chittoor-517507 (Id: S-13387)",Teacher Training
889,Andhra Pradesh,VIDYA JYOTHI SHIKSHA SAMITHI RANGA REDDY (Id: S-5680),Teacher Training
890,Andhra Pradesh,VIDYA SADHANA MINORITY EDUCATIONAL SOCIETY CUDDAPAH (Id: S-5681),Teacher Training
891,Andhra Pradesh,VIGNANA JYOTHI INSTITUTE OF MANAGEMENT (Id: S-35),PGDM Institutes
892,Andhra Pradesh,"Vignan Teacher Training College, C/o. Vignan Educational Society, Main Road, O.D Cheruvu, Anantapur-515561 (Id: S-13401)",Teacher Training
893,Andhra Pradesh,"VIJAYA HEALTH CARE ACADEMIC SOCIETY SCHOOL OF NURSING, GODHUMUKUNTA, HYDERABAD (Id: S-13255)",Nursing
894,Andhra Pradesh,"VIJAYA INSTITUTE OF MEDICAL SCIENCES SCHOOL OF NURSING, KRISHNA (Id: S-13012)",Nursing
895,Andhra Pradesh,"VIJAYA MARIE HOSPITAL and SCHOOL OF NURSING, SAIFABAD, HYDERABAD (Id: S-13205)",Nursing
896,Andhra Pradesh,"VIJAYA SCHOOL OF NURSING, GREAMSPET, CHITTOOR (Id: S-13154)",Nursing
897,Andhra Pradesh,VIJAYA SCHOOL OF NURSING GUNTUR (Id: S-3682),Nursing
898,Andhra Pradesh,"VIJAYA SCHOOL OF NURSING, KADAPA, CUDDAPAH (Id: S-13115)",Nursing
899,Andhra Pradesh,"VIJAYA SCHOOL OF NURSING, MANGALDAS NAGAR, GUNTUR (Id: S-13036)",Nursing
900,Andhra Pradesh,VIJAYA SCHOOL OF NURSING NELLORE (Id: S-3684),Nursing
901,Andhra Pradesh,"VIJAYA SCHOOL OF NURSING, POGATHOTA, NELLORE (Id: S-13023)",Nursing
902,Andhra Pradesh,VIJAYA TEACHER TRAINING INSTITUTE VIJAYA EDUCATIONAL TRUST ANANTAPUR (Id: S-5682),Teacher Training
903,Andhra Pradesh,"VIJAY INSTITUTE OF NURSING SCIENCES, SRIKAKULAM (Id: S-12856)",Nursing
904,Andhra Pradesh,"VIJAY INSTITUTE OF NURSING SCIENCES, TEMBUR ROAD, SRIKAKULAM (Id: S-12917)",Nursing
905,Andhra Pradesh,"VIJAY SCHOOL OF NURSING, GANDHI NAGAR, KRISHNA (Id: S-12996)",Nursing
906,Andhra Pradesh,VIJAY SCHOOL OF NURSING KRISHNA (Id: S-3681),Nursing
907,Andhra Pradesh,VIKAS ELEMENTRY TEACHER TRAINING INSTITUTE KRISHNA (Id: S-5683),Teacher Training
908,Andhra Pradesh,"VIKRANTH SCHOOL OF NURSING, KRANTHI EDUCATIONAL SOCIETY, SRIKAKULAM (Id: S-12915)",Nursing
909,Andhra Pradesh,VIMALA SCHOOL OF NURSING ANANTAPUR (Id: S-3685),Nursing
910,Andhra Pradesh,"VIMALA SCHOOL OF NURSING, VENUGOPALANAGAR, ANANTHAPUR (Id: S-13089)",Nursing
911,Andhra Pradesh,VINAYAKA SCHOOL OF NURSING CHITTOR (Id: S-3686),Nursing
912,Andhra Pradesh,"VISAKHA SCHOOL OF NURSING, MAHARANIPETA, VISAKHAPATNAM (Id: S-12922)",Nursing
913,Andhra Pradesh,VISAKHA SCHOOL OF NURSING VISAKHAPATNAM (Id: S-3687),Nursing
914,Andhra Pradesh,VISHWA BHARATHI SCHOOL OF NURSING KURNOOL (Id: S-3688),Nursing
915,Andhra Pradesh,VISHWA VISHWANI INSTITUTE OF SYSTEMS AND MANGEMENT (Id: S-36),PGDM Institutes
916,Andhra Pradesh,"VISWABHARATHI SCHOOL OF NURSING, GAYATHRI ESTATES, KURNOOL (Id: S-13125)",Nursing
917,Andhra Pradesh,VISWANADHA BUSINESS SCHOOL (Id: S-37),PGDM Institutes
918,Andhra Pradesh,"VISWASAI SCHOOL OF NURSING, KOVVUR, WEST GODAVARI (Id: S-12984)",Nursing
919,Andhra Pradesh,VISWA SAI SCHOOL OF NURSING W G (Id: S-3689),Nursing
920,Andhra Pradesh,"Viswa Vani College of Diploma in Education, Atmakur Road, Nandyal, Kurnool-518501 (Id: S-13405)",Teacher Training
921,Andhra Pradesh,VISWAVANI SCHOOL OF NURISNG KURNOOL (Id: S-3690),Nursing
922,Andhra Pradesh,"VISWAVANI SCHOOL OF NURSING, SRINIVASA NAGAR, KURNOOL (Id: S-13126)",Nursing
923,Andhra Pradesh,"Vivekananda College of Elementary Teacher Education, OU Road, Oguru Kandukur, Prakasam District (Id: S-13369)",Teacher Training
924,Andhra Pradesh,VIVEKANANDA INSTITUTE OF ELEMENTRY MURAKAMBATT CHITTOOR (Id: S-5685),Teacher Training
925,Andhra Pradesh,VIVEKANANDA INSTITUTE OF ELEMENTRYTIRUPATI (NORTH) CHITTOOR (Id: S-5686),Teacher Training
926,Andhra Pradesh,V.K.R and V.N.B POLYTECHNIC (Id: S-668),Technical/Polytechnic
927,Andhra Pradesh,VKR and VNB POLYTECHNIC GUDIVADA (Id: S-671),Technical/Polytechnic
928,Andhra Pradesh,"V.P.R. Institute of Elementary Teacher Education, Rayavaram, Mydukur Raod, Proddutur, Kadapa (Id: S-13396)",Teacher Training
929,Andhra Pradesh,"V.V.S. College of Education D.Ed. U. Kothapalli, (S.No.67/3, 38/6) Kothapalli (M), East Godavari District. (Id: S-13342)",Teacher Training
930,Andhra Pradesh,WARANGAL INSTITUTE OF MANAGEMENT (Id: S-672),PGDM Institutes
931,Andhra Pradesh,YALAMARTY POLYTECHNIC COLLEGE TARLUWADA (Id: S-673),Technical/Polytechnic
932,Andhra Pradesh,"YASHODA SCHOOL OF NURSING, CHAPPAVARI STREET, EAST GODAVARI (Id: S-12975)",Nursing
933,Andhra Pradesh,"YASHODA SCHOOL OF NURSING, MALAKPET, HYDERABAD (Id: S-13202)",Nursing
934,Andhra Pradesh,"YELLAMELLI VENKATA SWAMY and SRI BOKKA RAMA MURTHY SCHOOL OF NURSING, INAVILLI MANDAL, EAST GODAVARI (Id: S-12957)",Nursing
935,Andhra Pradesh,YOUTH SCHOOL OF NURSING ANANTHAPUR (Id: S-3692),Nursing
936,Andhra Pradesh,"YOUTH SCHOOL OF NURSING, ARAVINDA NAGAR, ANANTHAPUR (Id: S-13085)",Nursing
937,Andhra Pradesh,ZEENATH and HAMMU BI MEMORIAL INST. OF ELE. TCHR. EDU. GUNTUR (Id: S-5688),Teacher Training
938,Arunachal Pradesh,ASSAM TEXTILE INSTITUTE AMBARI GUWAHATI-781001 (Id: S-674),Technical/Polytechnic
939,Arunachal Pradesh,DIET CHANGLANG (Id: S-5689),Teacher Training
940,Arunachal Pradesh,DIET DIRANG (Id: S-5690),Teacher Training
941,Arunachal Pradesh,DIET PAPUMPARE (Id: S-5691),Teacher Training
942,Arunachal Pradesh,DIET PASIGHAT (Id: S-5692),Teacher Training
943,Arunachal Pradesh,DIET ROING (Id: S-5693),Teacher Training
944,Arunachal Pradesh,DIET SEPPA (Id: S-5694),Teacher Training
945,Arunachal Pradesh,HEALTH TAINING AND RESEARCH CENTRE EAST SIANG (Id: S-3693),Nursing
946,Arunachal Pradesh,RAJIV GANDHI GOVT. POLYTECHNIC (Id: S-675),Technical/Polytechnic
947,Arunachal Pradesh,RAMAKRISHNA MISSION HOSPITAL WEST SIANG (Id: S-3694),Nursing
948,Arunachal Pradesh,TOMI POLYTECHNIC COLLEGE (Id: S-676),Technical/Polytechnic
949,Assam,ARYA SCHOOL OF NURSING KAMRUP (Id: S-3695),Nursing
950,Assam,ASSAM ENGINEERING INSTITUTE CHANDMARI GUWAHATI-781003 (Id: S-677),Technical/Polytechnic
951,Assam,ASSAM INSTITUTE OF MANAGEMENT (Id: S-39),Technical/Polytechnic
952,Assam,BHABHA INSTITUTE OF TECHNOLOGY (Id: S-679),Technical/Polytechnic
953,Assam,"BONGAIGAON POLYTECHNIC, BONGAIGAON (Id: S-680)",Technical/Polytechnic
954,Assam,BURROW MEMORIAL CHRISTIAN HOSPITAL CACHAR (Id: S-3696),Nursing
955,Assam,CATHOLIC HOSPITAL SONITPUR (Id: S-3697),Nursing
956,Assam,CENTRAL INSTITUTE OF PLASTICS ENGINEERING and TECHNOLOGY KAMRUP (Id: S-681),Technical/Polytechnic
957,Assam,"CENTRAL INSTITUTE OF TECHNOLOGY, KOKRAJHAR (Id: S-8863)",Institutes under Ministries
958,Assam,"CHRISTIAN INSTITUTE OF NURSING and RESEARCH, DIMAPUR (Id: S-13871)",Nursing
959,Assam,COLLEGE OF AERONAUTICAL ENGINEERING GUWAHATI (Id: S-8864),Institutes under Ministries
960,Assam,COLLEGE OF PHYSIOTHERAPY and MEDICAL SCIENCES KAMRUP (Id: S-3698),Nursing
